name;link;image;description;address;price;horaires;metrostation;hours
Le Pantalon;http://www.timeout.fr/paris/bar/le-pantalon;;A deux pas du Panthéon, le Pantalon est un rendez-vous prisé par les étudiants de la Sorbonne toute proche. Construit sur un ancien bordel, ce bar présente une façade très discrète, mais à l’intérieur, surprise ! Dans la salle du fond, des étudiants des Beaux-Arts ont peint un mur en trompe l’œil et reconstitué une rue pavée avec feu tricolore et lampadaire, on se croirait sur une terrasse extérieure. On y boit de la Delirium Tremens et de la Chouffe à la pression sur des tables en formica, ou d’autres bières en bouteille. Ceux qui préfèrent les shooters ne sauront lequel choisir parmi une liste de noms saugrenus comme le Colgate, Cocaïne ou le Slow Job (10 euros les 5!). Les prix sont raisonnables pour le quartier (clientèle d’étudiants oblige) et l'happy hour est un bon plan même si elle fini trop tôt (de 17h à 19h) : la pinte est à 3 euros, la Guiness, Chouffe ou Delirium Tremes à 4 euros.;7 rue Royer-Collard 5e Paris;null;Tou les jours de 3h à 2h;Métro : Place Monge;De 17h à 19h.
L'Orange Mécanique;http://www.timeout.fr/paris/bar/lorange-mecanique;;"Rue Jean-Pierre Timbaud à Paris, les bars agréables et bon marché se suivent et ne se ressemblent pas. Parmi eux, on conseillera aux assoiffés l’Orange Mécanique, endroit dédié au rock sixties/seventies et au cinéma. Si des films sont projetés sur un écran (sans le son) certains soirs, on se déplace là-bas surtout pour l’ambiance psychédélique à souhait, les prix attractifs de la bière et des cocktails, et la musique sélectionnée par des DJs fans de pop, soul, funk, ou rock garage. On apprécie ici le choix de bières, pour tous les goûts et les portefeuilles. La pinte de ""Chaipakoi"" est à 4 euros, mais on peut préférer la Chouffe ou la Délirium Brune un peu plus chères. On peut aussi dépayser ses papilles avec une Vedette, Gallia, Orval, Westmalle... le choix est large. Tirant son nom du film bien connu de Stanley Kubrick, le bar offrait autrefois l’happy-hour toute la soirée à ceux qui débarquaient déguisés en « droogies », les personnages principaux du film qui arborent une combinaison blanche, un chapeau melon et des docs montantes… Aujourd'hui, l'happy hour est scrupuleusemennt limitée de 18 à 20h mais les prix sont toujours immbattables : le ballon de vin ou de Pastis est à 1,5 € et la pinte à 2,5€. La carte des cocktails classiques est allongée d'une carte créative à 7 € comme l'Ecureuil (pomme fraiche, sirop de pomme, gin, citron, perrier), le Bujito (menthe, chartreuse, citron vert pamplemousse) ou le Marga Caliente (tequila, passion, piment d'Espelette et citron). Aujourd’hui le lieu n’a plus besoin de publicité et croule sous l’affluence des habitués ou des amateurs d’absinthe. Autant venir tôt.";72 bis rue Jean-Pierre Timbaud 11e Paris 75011;null;null;Métro : Parmentier, Oberkampf ou Couronnes;De 18h à 20h.
La Cordonnerie;http://www.timeout.fr/paris/bar/la-cordonnerie;;Il y a quelques années, ce petit rade dans l’ombre des peep-shows et des sex-shops était le refuge des habitants du quartier à la recherche de plaisirs moins charnels, mais plus alcoolisés. Proposant la pinte la moins chère de tout Paris (4 €), des cocktails et des rhums arrangés à prix plancher (4,5€), des bières importées et ses couscous gratos le jeudi et le samedi, cette vieille taverne populaire a commencé à attirer une clientèle jeune en quête de bons plans. La Cordonnerie est aujourd’hui l’adresse incontournable de l’apéro : la terrasse est remplie d’étudiants et d’artys dès la longue happy hour de 17h à 20h (la pinte est à 2,5 euros), puis le bar reste animé jusqu’à 2h par les bavardages des clients et le fond musical soul, rock et reggae.;28 rue Greneta 2e Paris;Mojito à 4,50 euros, pinte à 4 euros;Du lundi au vendredi de 9h30 à 2h, samedi et dimanche de 15h à 2h;Métro : Etienne Marcel ou Réaumur - Sébastopol;De 17h à 20h.
La Belette qui tète;http://www.timeout.fr/paris/bar/la-belette-qui-tete;http://media.timeout.com/images/100618137/617/347/image.jpg;La Belette qui tète a changé de terrier ! Les aficionados de ce bar d'habitués perdu dans les profondeurs du 13e, qui avait tristement célébré sa fermeture l'année dernière, retrouvent leur belette préférée boulevard Arago. Ce joli petit bar est décoré de centaines de bouteilles colorées de vodkas arrangées, l'une des spécialités de la maison. Imaginez un peu : 45 rhums macérés avec des fruits (figue, écorce d'orange, banane, framboise…) et 88 vodkas aux arômes quelquefois un peu extravagants (barbe à papa, macarons, caramel beurre salé, Arlequin...) dont les meutes de jeunes étudiants fidèles à cette adresse sont friandes. Si vous préférez le naturel, les rhums macérés seront meilleurs. Ils sont d'ailleurs un peu plus chers (3,50 euros les 3 cl) que les vodkas (3 euros les 3 cl). Si vous voulez en goûter plusieurs, préférez les shots de 3 cl à ceux de 6 cl, vous tiendrez parallèle au comptoir plus longtemps. Le vrai changement à la nouvelle Belette est dans le concept lui-même. Les boissons proposées sont les mêmes, mais les clients devront commander une planche pour pouvoir consommer, car le bar n'a pas de licence IV. Une idée qui a du sens car rien ne sert de boire le ventre vide – surtout quand on est jeune et qu'on ne tient pas l'alcool –, d’autant que les planches proposées sont attractives. L'assiette de tapas et la demi-planche à composer soi-même sont à 10 euros, le trio de la mer, de terrines ou de saucissons à 13 euros et la planche mixte pantagruélique à 20 euros.  Encore mieux, si vous voulez commander du vin, la Belette propose 10 formules au choix avec demi-planche, planche trio accompagnée de vin au pichet de 25 cl, 50 cl ou à la bouteille, entre 15 et 35 euros, pratique même pour deux personnes. Mais l'animal aime aussi beaucoup le houblon, et sa botte secrète, c'est son choix inespéré de bières : 17 bouteilles, importées principalement de Belgique (Kireg, Chimay, Kwak, Delirium Tremens...), mais aussi des bières à la pression (recette artisanale La Belette, Rebelle, Tripel Karmeliet) et du cidre demi-sec (très fruité). On peut commander toutes les pressions en pichet de 1,5 litre, et au bout de 5 pichets achetés, 1 pichet est offert ! On comprend pourquoi le bar est blindé d'habitués qui ont leur carte de fidélité. Si vous êtes peu nombreux et que vous n'avez pas envie d'en boire plusieurs litres, pendant l'happy hour de 18h à 21h, toutes les pintes à la pression sont au prix du demi, soit entre 3 et 6 euros. Une autre bonne affaire de la Belette, décidément un animal très malin.;17 boulevard Arago 13e Paris;null;Du lundi au samedi de 16h à 2h;Métro : Les Gobelins, Place d'Italie ou Campo-Formio;De 18h à 21h.
Le Teddy's Bar;http://www.timeout.fr/paris/bar/le-teddys-bar;;Vous l’avez sans doute remarqué, les bars font souvent preuve d’instinct grégaire : ils se rassemblent tous au même endroit. C’est le cas dans le quartier de la rue Mouffetard, grouillante d’étudiants sorbonnards, de lycéens, de touristes et de curieux, qui se ruent sur la moindre bière entre deux cours ou en fin de journée. Parmi les nombreux bars qui jonchent la rue et ses environs, on apprécie tout particulièrement le Teddy’s, pour son choix de bières et de cocktails, son happy hour interminable (de 16h à 20h, pinte 3,5 euros, cocktails 4 euros) mais aussi pour son ambiance feutrée et chaleureuse. Il fait bon s’y lover dans les canapés et chatouiller avec son dos les murs recouverts de peau de léopard, tout en sirotant sa bière du mois, que ce soit une bavaroise à fermentation basse, ou une trappiste belge. Pendant ce temps, les étudiantes habituées du lieu cherchent le chat. Il s’appelle René (si, si) et il possède sa propre page Facebook, René Miaou, qui recense 280 amis. René provient du bar d’à côté, le Descartes, mais il a élu domicile au Teddy’s et on sait pourquoi : se faire caresser et dorloter par de jolies filles, difficile de trouver mieux ailleurs. Vous pouvez toujours essayer de lui faire de la concurrence.;3 rue Thouin 5e Paris;null;Du lundi au dimanche de 15h30 à 1h30, jusqu'à 5h vendredi et samedi;Métro : Place Monge ou Cardinal Lemoine;De 16h à 20h.
Connolly's Corner;http://www.timeout.fr/paris/bar/connollys-corner;;C’est le plus ancien pub irlandais de la rive gauche et l’un des trois plus vieux de Paris. Contrairement à beaucoup de ses concurrents un peu fades, le Connolly’s Corner ressemble à s’y méprendre à un authentique rade dublinois. Un bar en angle un peu caché, dans un quartier, la rue Mouffetard, qui compte pléthore de pubs sans âme. Bienheureux ceux qui parviennent à le trouver, car on y boit sur des tonneaux la meilleure Guinness de Paris ou l’un des innombrables excellents whiskys qui ornent l’étagère derrière le comptoir. Peu ou prou de cadres endimanchés ici, juste des habitués ou des étudiants de passage, des connaisseurs aussi, qui savent que l’endroit abrite tournois de fléchettes, concerts et surtout une surprenante collection de cravates ! Car il fut un temps révolu où toute personne se présentant avec une cravate devait symboliquement la couper pour l’offrir au maître des lieux. L'happy hour court de 16h à 20h, ce qui vous laisse largement le temps de goûter plusieurs pintes de Guinness à 5€, histoire de vérifier qu’elles sont bien les meilleures de la ville.;12 rue de Mirbel 5e Paris;null;De 16h à 2h;Métro : Censier - Daubenton;De 16h à 20h.
La Droguerie Moderne;http://www.timeout.fr/paris/bar/la-droguerie-moderne;http://media.timeout.com/images/100615535/617/347/image.jpg;La Droguerie Moderne est un petit rade qui aurait pu choisir un nom plus original (on a déjà la Mercerie pas loin), mais qui se rattrape par sa déco bien particulière. Au-dessus du bar, une lumière tamisée s’échappe par les trous du tambour chromé d’une machine à laver, à l'image de la salle à la déco démentielle : on s’assoit sur des panneaux routiers, des tonneaux industriels, des sièges en caddy. Un bac de douche fait office de table basse, une baignoire de canapé : tout le mobilier est en récup de chantier... chapeau pour les idées !;61 bis rue Jean-Pierre Timbaud 11e Paris;Shots à 3 euros;Du lundi au samedi de 5h à 2h;Métro : Parmentier ou Couronnes;De 18h à 20h.
Le Kitch;http://www.timeout.fr/paris/bar/le-kitch;http://media.timeout.com/images/100479865/617/347/image.jpg;Avec sa devanture bleue pétante et ses joyeuses guirlandes d’ampoules colorées, le Kitch est un bar à cocktails où il fait bon commencer sa soirée. Portrait de caniche au mur, un Bambi qui cotôie une statue de la Liberté rose et un gang de peluches sur l'étagère, la déco kitch très chargée s'accorde avec le nom du lieu. L’espace est étroit, souvent bondé, donc arrivez tôt pour avoir une table et profiter de la longue happy-hour. Et il y a de quoi être joyeux de 17h30 à 21 heures puisque tous les cocktails sont à 5 euros. Entre le mojito généreusement dosé en rhum et menthe fraîche, la spécialité maison, le Shrek (un mix détonnant de menthe, citron et gin) et d'autres cocktails aux noms exotiques, le choix ne manque pas. Une fois la boisson commandée, frayez vous un passage entre les tables en formica et la faune nocturne pour vous poser dans le canapé moelleux de la petite salle du fond. Ou bien restez au comptoir et profitez de l’ambiance chaleureuse sous l’œil (bienveillant ?) du masque de Shrek. Attention, la CB est à partir de 20 euros.;10 rue Oberkampf 11e Paris;Environ 8 euros le cocktail, 5 euros pendant l'happy-hour;Du lundi au vendredi de 17h30 à 2h;Métro : Filles du Calvaire ou Oberkampf;De 17h à 21h.
Le Piment Café;http://www.timeout.fr/paris/bar/le-piment-cafe;http://media.timeout.com/images/100614743/617/347/image.jpg;Voici une adresse que l'on aimerait garder secrète. Ce micro-bar en plein Marais est devenu la deuxième maison des initiés qui le fréquentent. Ne pensez pas trouver des rhums arrangés au piment ou au tabasco, ici on vient pour commander des pichets de ti-punch de 50cl à 23 euros qui peuvent contenter un régiment, et pour profiter de sa généreuse happy hour. De 18h à 21h, la pinte de Melbrau est à 3,50 euros, la blanche à 4 euros et la Guinness à 4,50 euros. En plus, les serveuses sont sympas et souriantes. Le minuscule comptoir fait face à quelques ordinateurs à louer (1 euro les 30 minutes), pratique pour les touristes ou ceux qui n'ont toujours pas de smartphone et ont un besoin urgent de checker leurs mails. Le bar ne compte que deux petites salles logées entre d'épais murs en pierre apparente. Il est donc vite blindé dès l'apéro : arrivez tôt pour espérer avoir une table, elles sont rares. La clientèle est bien habillée mais pas d'ambiance m'a-tu-vu ici, le Piment Café reste un petit bar sans prétention et c'est pour ça qu'on l'aime.;15 rue de Sévigné 4e Paris;null;Tous les jours de 15h à 2h;Métro : Saint-Paul;De 18h à 21h.
Le Crocodile;http://www.timeout.fr/paris/bar/le-crocodile;http://media.timeout.com/images/100615563/617/347/image.jpg;Préparez-vous à hésiter au moment de commander votre cocktail : la carte en propose près de 350 différents, tous plus déconcertants les uns que les autres : Galéjade, Tartempion, Va nu pied, Traîne-savate, Rond de cuir… de quoi expérimenter des potions inédites, mais qui peuvent s'avérer décevantes aussi, c'est un peu la loterie... demandez à être conseillé. L’interminable happy hour de 18h à 23h est le meilleur moment pour en tester quelques-uns à 6 euros, jusqu'à 22h le week-end. Dans cette taverne exiguë on aime bien les vieilles affiches, les tables qui collent et tant pis si on n'est pas très bien installé. Si une place se libère (le bar est minuscule et toujours bondé), il faut jouer des coudes avec son voisin, souvent un étudiant de la Sorbonne voisine ou un touriste égaré, pour récupérer son verre. La musique est si forte qu'elle vous oblige à hurler dans l'oreille de votre voisin. L'ambiance est très jeune et très alcoolisée, très « 5e arrondissement » diront les Parisiens ! Bref, si vous avez passer l'âge de picoler pour le geste, vous vous sentirez de trop.;6 rue Royer-Collard 5e Paris;null;null;Métro : Place Monge;De 18h à 23h.
