name;address;description;image;link;contact;likes
La Salle Wagram;37 avenue de Wagram, 75017, Paris, France;"Salle mythique vers la fin des années 90's, et ce jusqu'au début des années 2000, la Salle Wagram a pu accueillir les plus grandes soirées étudiantes ou clubbing de Paris, comme les fameuses soirées TGV.
La Salle Wagram a été entièrement rénovée et a réouvert il y a peu de temps. Elle a conservé ses décors d’antan, et à profité de sa rénovation pour intégrer les équipements techniques de dernière génération. Elle est désormais destinée à accueillir des congrès ou autres réceptions privées.
La Salle Wagram est classée monument Historique";http://a2.parisbouge-res.cloudinary.com/image/upload/s--c8EmCLIu--/c_fill,fl_progressive,h_200,w_200/f_auto,q_80/hi0lddii2jvaz1ul8hr2.jpg;http://www.parisbouge.com/place/1;;118
Le Back Up;18 rue de la Croix Nivert, 75015, Paris, France;Le BackUp est une salle événementielle située en plein cœur du 15ème arrondissement, à quelques pas des Champs Elysées. Lieu incontournable de la nuit parisienne, le BackUp est une salle souvent louée pour des rallyes ou des soirées étudiantes, mais elle est également disponible pour tous types d'événements privés ou professionnels. Pour être au courant des prochains événements qui auront lieu au BackUp, pensez à consulter l'agenda de ParisBouge.com.;http://a3.parisbouge-res.cloudinary.com/image/upload/s--cF_yex44--/c_fill,fl_progressive,h_200,w_200/f_auto,q_80/vjfqjp8rytzfo46fvyuy.jpg;http://www.parisbouge.com/place/2;147832617;234
L'Hôtel InterContinental Paris - Avenue Marceau;64 avenue Marceau, 75008, Paris, France;Situé en plein cœur du 8ème arrondissement et à quelques pas des Champs Elysées, l'Hôtel InterContinental Paris - Avenue Marceau est un espace de convivialité où la décoration mêle art et design pour le plus grand plaisir des yeux. Le restaurant de l'Hôtel InterContinental Paris - Avenue Marceau, le M64, propose une cuisine française contemporaine avec une carte rassemblant une quinzaine de suggestions. La réservation du restaurant est conseillée.;;http://www.parisbouge.com/place/3;144433636;42
La Loco;90 boulevard de Clichy, 75018, Paris, France;"La loco est désormais connu sous le nom de ""La machine du moulin rouge""";;http://www.parisbouge.com/place/5;;528
L'Elysée Montmartre;72 boulevard Rochechouart, 75018, Paris, France;L'Elysée Montmartre, situé dans le 18ème arrondissement parisien, est une ancienne salle de boxe recyclée en salle de concerts, et désormais devenu un des nouveaux temples de la nuit parisienne. Des soirées étudiantes aux soirées de clubbers, on a vu les plus grands de la capitale y passer. Open House, Panik, DeLaHouse, Magic Garden ... L'Elysée Montmartre organise un samedi sur 2 son bal, soirée Kitch avec Dj & Grand Orchestre.;;http://www.parisbouge.com/place/6;142234650;606
La Scène;16 rue Linois, 75015, Paris, France;L'Aquarium cherche à séduire une nouvelle clientèle plus tendance clubbing et branchée et a donc changé de nom pour la Scène.;;http://www.parisbouge.com/place/7;145778080;176
Les Bains;7 rue du Bourg-l'Abbé, 75003, Paris, France;"Après des années de fermeture, l’hôtel Les Bains se situe au 7 rue du Bourg-l’Abbé, à quelques rues du Centre Pompidou dans le 3ème arrondissement de Paris. Les Bains, c’est également un restaurant, un bar et un club, à la fois bohème et élégant, transculturel et inventif, ouvert 24h/24 rien que pour vous.
L'hôtel Les Bains est ouvert en permanence.";http://a1.parisbouge-res.cloudinary.com/image/upload/s--YnIdByh6--/c_fill,fl_progressive,h_200,w_200/f_auto,q_80/wnkwmsbxix180ydgsssd.jpg;http://www.parisbouge.com/place/8;148870180;266
Le Bus Palladium;6 rue Pierre Fontaine, 75009, Paris, France;Le Bus Palladium compile resto américain, boîte de nuit, salon privé et salle de concerts. Ce lieu est une véritable institution depuis sa création en 1965. La déco du Bus Palladium a gardé son côté rétro avec des murs tapissés de velours et des banquettes en cuir rouge. Côté concerts, la musique est rock au Bus Palladium, les meilleurs groupes des années 80 s’y sont retrouvés pour tourner des clips ou donner des soirées.;http://a1.parisbouge-res.cloudinary.com/image/upload/s--uGpsV0qS--/c_fill,fl_progressive,h_200,w_200/f_auto,q_80/xugn2jcpuzwh7aam5nyg.jpg;http://www.parisbouge.com/place/9;145268035;121
Le Duplex;2 bis avenue Foch, 75116, Paris, France;"Situé à quelques pas de l'Arc-de-Triomphe, le club Le Duplex rassemble deux grandes salles et une plus petite. On y retrouve une ambiance musicale plutôt généraliste, avec un style différent pour chacune des salles, en particulier pendant les soirées du week-end : house, disco, groove, ... Le Duplex mêle les styles de musique et dispose d'une discothèque, d'un bar et d'un restaurant.
Le club Le Duplex est ouvert tous les jours, de 23h à 6h du matin.";http://a5.parisbouge-res.cloudinary.com/image/upload/s--kZP5eDY2--/c_fill,fl_progressive,h_200,w_200/f_auto,q_80/hiidfgp6mtcb6cjpatmu.jpg;http://www.parisbouge.com/place/10;145004500;502
Les Planches;40 rue du Colisée, 75008, Paris, France;"Situé en plein cœur du 8ème arrondissement parisien, le club Les Planches est un club généraliste.
Alors roulez Jeunesse, et avec le coupé de papa, voici Les Planches, la boîte de la jeunesse dorée de Paris. N'oubliez pas la veste et oubliez les baskets, ""Auteuil-Neuilly-Passy"", voilà la boîte de nuit de ton ghetto !";http://a2.parisbouge-res.cloudinary.com/image/upload/s--_dzsf2QB--/c_fill,fl_progressive,h_200,w_200/f_auto,q_80/drqxdbgvmd7vhotuyp8n.jpg;http://www.parisbouge.com/place/12;142251168;208
