categorie;link;address;contact;description;image;price;name;hours
Original;http://www.oubruncher.com/brunch-une-souris-et-des-hommes-75009-2722.php;17 rue de Maubeuge;981761774;"Une Souris et des Hommes c'est un nouveau lieu de vie original et follement gourmand en plein cœur du 9ème arrondissement. C'est un trio d'amis (deux pâtissiers et un libraire) qui ont eu l'idée d'ouvrir un salon de thé, pâtisserie librairie pour le plus grand plaisir des gourmands. Le brunch est servi à table et se compose de produits exclusivement faits maison. Vous commencerez par une boisson chaude au choix (thé Palais des thés, café, délicieux chocolat chaud maison) et une orange pressée. Nous avons eu la joie de voir arriver un panier garni de diverses brioches, kouglof etc à déguster avec les confitures et pâtes à tartiner maison à tomber ! Place ensuite au salé avec un œuf cocotte, salade mesclun et un feuilleté (maison of course) façon ""pissaladière"" aux légumes. Une manière saine et délicieuse de profiter du brunch pour découvrir de nouvelles saveurs. Vous aurez ensuite le plaisir de déguster le dessert du moment choisi par les Chefs pâtissiers. Lors de notre visite nous avons goûté un entremets vanille, mousse dragée et cœur griotte, digne des grandes maisons parisiennes. Comme nous, vous vous laisserez peut-être tenter par les livres proposés par Une Souris et des Hommes ainsi que par les jolies pâtisseries disponibles également à emporter. La réservation est conseillée, notez que le brunch est proposé à 13h30 le samedi, puis à deux services le dimanche : 11h00 et 13h30. Le brunch est aussi servi les jours fériés.";http://www.oubruncher.com/photos1/2722_3.jpg;27.00€;Brunch Une Souris et Des Hommes;Horaires du brunch : Samedi (13h30 - h) & Dimanche (11h00 - 13h30)
Original;http://www.oubruncher.com/brunch-veget-halles-75001-3878.php;41 rue des bourdonnais;140419395;Vous cherchez un brunch végétarien, végétalien et/ou sans gluten ? C'est chez Veget'Halles qu'il faut aller. Vous découvrirez à deux pas des Halles le restaurant Végét'Halles et son brunch végétarien servi sous forme de buffet à volonté. Le buffet s'articule en trois temps : - le salé froid avec ses différentes salades, taboulé, houmous, etc. à 6 entrées froides différentes sont proposées tous les dimanches. - le salé chaud avec une sélection de plats à base d’œufs (lors de notre visite nous avons eu droit à une omelette), la soupe du jour, des beans etc. - le sucré avec 5 à 6 desserts entièrement faits maison : délicieux tiramisu, salade de fruits frais, mousse au chocolat... Le paradis des gourmands ! Envie de prolonger l'expérience Vegan ? Pour 4€ de supplément testez le burger végétarien, une vrai surprise pour les carnivores les plus confirmés. Accompagnez le tout d'une boisson chaude au choix parmi la jolie sélection de thés bios notamment, d'un excellent jus de pomme et d'orange et vous passerez à coup sûr un très moment : sain et healthy pour bien terminer votre week-end !;http://www.oubruncher.com/photos1/3878_3.jpg;21.00€;Brunch Végét'Halles;Horaires du brunch : Dimanche (12h00 - 15h30)
D'ailleurs;http://www.oubruncher.com/brunch-les-pietons-75004-59.php;8 rue des Lombards;148878287;"Le restaurant les Piétons est situé en plein coeur de Paris, sur une agréable rue piétonne près de Châtelet, dans le 4 ème arrondissement. Pour ceux qui ne connaissent pas, vous allez vite découvrir les joies d'une ambiance détendue et décontractée ! Vous sera proposé, le dimanche, un brunch Espagnol. Et oui cela se trouve, c'est Madrid à paris ! Le brunch comprend des boissons chaudes (café, thé, chocolat), pains assortis de délicieuses confitures, viennoiseries et jus d'orange. Il est servi avec un verre de sangria. Vous pourrez profiter d'un copieux buffet à volonté avec de nombreuses tapas Espagnoles. Tout est situé sur le comptoir du restaurant avec gaspacho classique ou au melon, saumon fumé, coulis de tomates maison avec des tranches de pain, pan con tomate, poivrons fourrés à la tortilla, empanadas au fromage, chorizo chaud au cidre, charcuteries (jambon espagnol, saucisson, chorizo en tranche), olives, œufs brouillés, salade de pomme de terre chaude, crevettes, salade russe chaude, anchois, tortillas.... En dessert, on ne résiste pas au ""churros con chocolate caliente"", gâteau au Nutella, salade de fruits ou la crème catalane qui est un vrai délice ! Deux créneaux sont proposés pour le brunch : de 11h30 à 12h et de 14h à 14h30. Voici le site du restaurateur : www.lespietons.com";http://www.oubruncher.com/photos1/59_3.jpg;22.00€;Brunch Les Piétons;Horaires du brunch : Dimanche (11h30 - 16h00)
Luxe;http://www.oubruncher.com/brunch-park-hyatt-paris-vendome-les-orchidees-75002-423.php;5, rue de la Paix;158711060;La vie de palace le temps d’un brunch ? C’est possible aux Orchidées, un des restaurants du Park Hyatt Paris Vendôme. Installé sous la magnifique verrière, entouré des magnifiques fleurs blanches du même nom, vous découvrirez un lieu reposant, lumineux, unique. Aux beaux jours, le brunch est servi sur la terrasse de l’hôtel. Vous commencerez votre brunch par une boisson chaude et un jus de fruits frais (orange, pamplemousse, mangue, etc). Vous découvrirez ensuite l’incroyable buffet du petit déjeuner et d’entrées des Orchidées. Mini-viennoiseries, plusieurs variétés de pains et leurs accompagnements, produits laitiers, salades de fruits pour la partie petit déjeuner. La sélection d’entrées est particulièrement remarquable : crevettes roses du Brésil d’une extrême fraîcheur, saumon mi-fumé artisanal, carpaccio de veau, diverses salades colorées, jambon Serrano, verrines… Vous ne saurez où donner de la tête ! Place ensuite au plat, vous avez le choix entre 9 plats aussi appétissants les uns que les autres : dégustation de palette ibérique Bellota (18 mois), œufs bio brouillés au saumon fumé, filets de turbo étuvé au vin jaune, filet de bœuf laqué au soja etc. Si vous le souhaitez, vous pourrez vous servir de fromages, salades et vinaigrettes sur le buffet. Place ensuite à la sélection de desserts « Extravaganza » : macarons, verrines, mini-tartes au citron couture, choux au caramel croquants, mini-cônes fondants, pâtes de fruits maison etc. La vie de palace on vous dit ! Le brunch des Orchidées est signé par le Chef Jean-François Rouquette et le Chef Pâtissier Fabien Berteau. Brunch le dimanche : 94€ avec une coupe de champagne ou un verre de vin ou 125€ avec une coupe de champagne Krug grande cuvée. A noter : les boissons chaudes et les jus de fruits vous seront servis à discrétion.;http://www.oubruncher.com/photos1/423_3.jpg;94.00€;Brunch Park Hyatt Paris-Vendôme - Les Orchidées;Horaires du brunch : Dimanche (12h30 - 15h00)
Terrasses;http://www.oubruncher.com/brunch-hotel-du-collectionneur-le-safran-75008-88.php;Hôtel du Collectionneur Arc de Triomphe, 51-57 rue de Courcelles;158366796;L'hôtel du Collectionneur Arc de Triomphe situé rue de Courcelles à quelques mètres du parc Monceau et des Champs Elysées, vous accueille chaque dimanche dans son restaurant, Le Safran, pour un buffet gourmand aux multiples saveurs. Au menu : - Des boissons chaudes et des jus de fruits frais pressés - Un bel assortiment de pains et de viennoiseries : croissants, pains au chocolat, pains aux raisins, chaussons aux pommes, brioches au sucre. - Des muffins, pancakes, gaufres, pain perdu, crêpes - Côté mer : homard, huîtres, bulots, crevettes, saumon fumé, sushi et maki, - Côté terre : multiples salades composées, foie gras, assortiment de charcuteries et de fromages mais aussi une pièce de viande à la découpe, un poisson et une sélection de pâtes et de sauces - Œufs selon votre envie préparés devant vous Sans oublier le buffet de desserts avec des fruits frais, des tartes maison et de saison, des brownies, madeleines, financiers, cakes et autres gâteaux gourmands Vous pouvez également ajouter une coupe de champagne Moët et Chandon, pour un brunch à 75€. Des animations sont prévues pour les enfants.;http://www.oubruncher.com/photos1/88_3.jpg;65.00€;Brunch Hôtel du Collectionneur - Le Safran;Horaires du brunch : Dimanche (12h30 - 15h00)
Enfants;http://www.oubruncher.com/brunch-cafe-de-la-paix-75009-591.php;5 Place de l’Opéra;140073636;Situé face à l'Opéra Garnier, le Café de la Paix est un des lieux mythiques de Paris où élégance et raffinement sont les maîtres mots. C'est dans un style datant du Second Empire que vous pouvez déguster un brunch servi sous la forme de buffets. Le service irréprochable vous fait passer un moment d'exception dans ce qui est aujourd’hui une véritable institution parisienne. Le Café de la Paix vous propose une formule brunch unique, préparée par le Chef Christophe Raoux, Meilleur Ouvrier de France 2015. Une coupe de Champagne rosé ouvre le brunch (qui peut également vous être servie en fin de repas) et différents buffets vous sont proposés : Pour commencer, laissez vous tenter par le buffet composé de viennoiseries avec ses traditionnels pains au chocolat, croissants pour le sucré et bacon, saucisse et œufs brouillés pour le salé. Le Buffet froid présente une sélection variée de saumon fumé, taboulé, salades en tous genres, terrine de crabe, roulés œufs pochés-saumon, etc... Le buffet de Fruits de mer vous propose quant à lui des crevettes, langoustes, huîtres et bulots de toute première fraîcheur. Quand au buffet Asiatique, il vous invite à une dégustation de sushis variés et plats exotiques. Le buffet de Charcuterie met à votre disposition divers jambons, saucissons mais également du foie gras à accompagner de marmelades. Pour ce qui est du plat chaud, un wok et le plat du jour, préparés sur place, vous attendent. Un plateau de fromages est également servi, offrant un large choix représentant toutes les régions de France. Enfin, vous ne pouvez faire l'impasse sur le merveilleux buffet de gourmandises et ses succulents desserts tels que le fameux mille feuille du Café de la Paix, la tarte au citron meringuée, les entremets au chocolat, les tartes aux fruits, et autres créations sucrées exclusives ! Pour accompagner ce somptueux buffet, il vous suffit de demander les boissons chaudes de votre choix : chocolat, café expresso ou allongé. Les boissons fraîches sont à disposition avec des jus de fruits BIO de qualité : carotte, fraise ou menthe-ananas par exemple…. Pour parfaire le tout, profitez de la présence exceptionnelle du mentaliste Burt Wayne qui saura vous séduire avec ses tours surprenants ! Les Ateliers de Macha sont organisés à chaque Brunch pour laisser libre cours à l'imagination des enfants au travers de créations autour de la ville de Paris et des expositions en cours. Un brunch raffiné et savoureux auquel s’ajoute l’excellence du service !;http://www.oubruncher.com/photos1/591_3.jpg;94.00€;Brunch Café de la Paix;Horaires du brunch : Dimanche (12h15 - 15h30)
Prix;http://www.oubruncher.com/brunch-cafe-pierre-75012-340.php;202 rue du Faubourg Saint Antoine;143738479;Le Café Pierre, bistrot traditionnel au cadre moderne et sympathique, vous accueille le samedi et le dimanche pour son copieux brunch en buffet. L'ambiance, conviviale et chaleureuse, vous garantit un moment agréable. Il propose la formule de brunch suivante : boisson chaude à volonté, jus de fruit pressé (orange ou pamplemousse), plat chaud et buffet sucré à volonté ! Le plat chaud se présente comme un petit déjeuner à l'anglaise, avec une assiette salée composée de salade coleslaw, de saumon fumé, de saucisse de toulouse, d’œufs brouillés ainsi que de pommes de terre sautées. Pour terminer sur une note sucrée, le buffet des desserts maison offre un assortiment de brownies, salades de fruits, pancakes, crèpes, tartes aux fruits et autres gourmandises. Varié, frais et généreux : un brunch vraiment copieux ! Profitez de la terrasse ou demandez à réserver l’étage pour profiter de votre brunch en toute intimité. Information : le brunch du Café Pierre est également proposé les jours fériés !;http://www.oubruncher.com/photos1/340_3.jpg;19.80€;Brunch Café Pierre;Horaires du brunch : Samedi (12h00 - 15h00) & Dimanche (12h00 - 15h00)
Enfants;http://www.oubruncher.com/brunch-my-pop-75015-3553.php;7 rue Linois, Centre commercial de Beaugrenelle;145772395;MyPop c'est le nouveau concept store de Beaugrenelle le centre commercial so chic du 15ème arrondissement. Vous commencerez votre brunch par vous servir de thé ou café à volonté, vous choisirez entre le classique jus d'orange pressé ou la fontaine de soda à volonté. Pour le petit-déjeuner vous craquerez pour le panier de My Pop : pain toasté, beurre, confiture de fraise et abricot, nutella et beurre de cacahuète. Ensuite, vous aurez le choix entre 4 plats : œuf Benedict bacon ou saumon, bagel Popy au poulet ou Tweety au thon. En dessert vous ne saurez où donner de la tête entre les pancakes au sirop d’érable, les muffins chocolat ou myrtilles, les donuts sucre ou chocolat ou plus classique le fromage blanc 0% muesli ou nature si vous n'avez vraiment plus faim ! En résumé, le brunch MyPop c'est un condensé d'Amérique dans un décor flashy et convivial.;http://www.oubruncher.com/photos1/3553_3.jpg;25.95€;Brunch My Pop;Horaires du brunch : Dimanche (11h00 - 18h00)
Prix;http://www.oubruncher.com/brunch-le-grand-cerf-75002-3375.php;79 Boulevard de Sébastopol;142330680;A proximité des Halles et Arts et Métiers, Le Grand Cerf vous accueille tous les dimanches pour son brunch servi à table. Le cadre se veut chaleureux et l'ambiance conviviale notamment grâce à l'omniprésence du bois dans la pièce qui rend la décoration très réussie. Au menu du brunch : - Une boisson chaude et un jus de fruits frais pressé ((coup de cœur de la rédac'), choisissez entre concombre, carotte, citron, orange et pomme) - Corbeille de viennoiseries, pains, confitures et beurre - Oeuf à la coque et mouillettes, bacon, gaspacho concombre-menthe, fraises - Saumon, brochette tomates-mozzarella, jambon cru, melon, céréales, fromage blanc Si vous souhaitez déguster votre brunch à l'extérieur, une terrasse chauffée est à votre disposition. Le brunch est copieux, raffiné, bien présenté et d'un excellent rapport qualité/prix, que demander de plus ? L'un des meilleurs rapport qualité/prix en termes de brunchs à Paris ! Avec un service à vos petits soins, le lieu va vite devenir votre QG du dimanche ! Le brunch est proposé les dimanches et les jours fériés.;http://www.oubruncher.com/photos1/3375_3.jpg;19.90€;Brunch Le Grand Cerf;Horaires du brunch : Dimanche (10h00 - 16h00)
D'ailleurs;http://www.oubruncher.com/brunch-la-cordonnerie-75002-3834.php;28 rue Greneta;618146326;La Cordonnerie, située dans le 2ème arrondissement de la capitale, vous accueille pour son brunch afro/antillais. Vous pouvez également choisir une formule plus classique si vous le souhaitez. Le cadre, typiquement parisien, abrite une décoration parfaitement choisie. L'établissement dispose d'un buffet de viennoiseries, salades de fruits maison, yaourts etc... Le reste du brunch est à la carte. Choisissez parmi : - La formule africaine avec son poulet yassa (citronné et accompagné de riz) ainsi que ses bananes plantin - La formule antillaise avec ses accras (thon), boudin noir et avocat accompagnés également de salade et bananes plantin - Le brunch européen avec viennoiseries, saumon, pomme de terre etc... Pour le dessert vous avez le choix entre un gâteau aux carottes, un moelleux au chocolat accompagné de son coulis de fruits rouges ou une salade de fruits. Lorsque le temps le permet, n'hésitez pas à profiter de la terrasse pour un brunch ensoleillé. Des formules originales qui sauront vous rassasier quelle que soit celle que vous choisirez. En somme, un brunch dépaysant avec des produits frais qui vous fera voyager le temps d'un midi hors de Paris.;http://www.oubruncher.com/photos1/3834_3.jpg;22.00€;Brunch La Cordonnerie;Horaires du brunch : Dimanche (10h00 - 17h00)
